company_name,company_website,CompanyName,Address,City,State,Zip,County,Country,Website,PhoneNumber,FaxNumber,SICCode,IndustryName,6DigitSICCode,NAICSCode,NAICSDescription,LinkedInIndustryName,StockTicker,Revenue,NumberEmployees,YrFounded,AlexaRank,CompanyLinkedIn,CompanyFacebook,CompanyTwitter,CompanyInstagram,CompanyYelp,CompanyYouTube,CompanyCrunchbase,LeadSource
Regus,regus.com,Regus Business Center Corp.,100 Manhattanville Rd Ste 412,Purchase,ny,10577,Westchester,United States,regus.com,(424) 238-4302,"",6531,"Real Estate Agents And Managers, Facilities Services",,53131,,Facilities Services,"",$1 Million - $10 Million,50 to 200,1989,,https://www.linkedin.com/company/regus,https://www.facebook.com/RegusGlobal,http://twitter.com/RegusUSA,https://www.instagram.com/regus_group/,http://www.yelp.com/biz/regus-houston,https://www.youtube.com/user/Regus,https://www.crunchbase.com/organization/regus,UpLead
Codeweavers Ltd,codeweavers.net,Codeweavers Limited,Barn 4 Dunston Business Village Dunston,Stafford,,T18 9AB,"",United Kingdom,codeweavers.net,44 80 0021 0888,"",73,"Business Services, Information Technology And Services",,5415,Computer Systems Design and Related Services,Information Technology And Services,"",$10 Million - $50 Million,50 to 200,2000,356473,https://www.linkedin.com/company/codeweavers-limited,https://www.facebook.com/codeweaverssoftware,https://twitter.com/CodeweaversTeam,,,https://youtube.com/user/codeweaversltd,,UpLead
funda,funda.nl,Funda B.V.,Huys Europa Piet Heinkade 167 173,Amsterdam,,,"",Netherlands,funda.nl,31 20 561 8200,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Internet",,54151,Computer Systems Design and Related Services,Internet,"",$10 Million - $50 Million,50 to 200,2000,9045,https://linkedin.com/company/funda,https://www.facebook.com/funda,https://twitter.com/funda,,,,,UpLead
Treatwell,treatwell.com,Treatwell,15 Fulwood Pl,London,LONDON,WC1V 6HU,"",United Kingdom,treatwell.com,31 20 790 0190,"",58,"Eating And Drinking Places, Internet",,54199,"All Other Professional, Scientific, and Technical Services",Internet,"",$10 Million - $50 Million,200 to 500,2008,,https://www.linkedin.com/company/treatwell-com,,,https://www.instagram.com/treatwell_uk,,,https://www.crunchbase.com/organization/wahanda,UpLead
interRel Consulting,interrel.com,"interRel Consulting Partners, LTD.",1000 Ballpark Way Ste 304,Arlington,TX,76011,Tarrant,United States,interrel.com,(972) 735-8716,"",7379,"Computer Related Services, Nec, Information Technology And Services",874201,541519,Other Computer Related Services,Information Technology And Services,"",$10 Million - $50 Million,50 to 200,1997,,https://www.linkedin.com/company/interrel-consulting,https://www.facebook.com/interRelConsultingPartners,https://twitter.com/interRel,,,https://www.youtube.com/channel/UCk5heHFfP_N_myMS2ijgr2w,https://www.crunchbase.com/organization/interrel-consulting,UpLead
HashedIn,hashedin.com,HashedIn Technologies Pvt Ltd,#90 2nd Floor 14th Main 17th Cross Hsr Layout,Bangalore,Karnataka,560102,"",India,hashedin.com,937 9948294,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",,54151,Computer Systems Design and Related Services,Information Technology And Services,"",$1 Million - $10 Million,50 to 200,2010,352451,https://www.linkedin.com/company/hashedin,https://www.facebook.com/hashedin,https://twitter.com/HashedIn,,,,,UpLead
HubSpot,hubspot.com,HubSpot Inc,25 1st St Fl 2,Cambridge,MA,02141-1802,Middlesex,United States,hubspot.com,(888) 482-7768,(302) 655-5049,7372,"Prepackaged Software, Internet",737201,511210,Software Publishers,Internet,HUBS,$200 Million - $1 Billion,"1,000 to 5,000",2006,301,https://www.linkedin.com/company/hubspot,https://www.facebook.com/hubspot,https://twitter.com/HubSpot,https://instagram.com/hubspot/,http://www.yelp.com/biz/hubspot-cambridge,https://www.youtube.com/user/HubSpot,http://www.crunchbase.com/organization/hubspot,UpLead
Osmosis,osmosis.org,Osmosis - Knowledge Diffusion,,Baltimore,MD,,Baltimore City,United States,osmosis.org,,"",,Education Management,,61,Educational Services,Education Management,"",$1 Million - $10 Million,10 to 50,2013,23762,https://www.linkedin.com/company/osmosis---knowledge-diffusion,https://www.facebook.com/OsmoseIt,https://twitter.com/OsmoseIt,,,,,UpLead
"Red Ventures, LLC",redventures.com,"Red Ventures, LLC",1101 Red Ventures Dr,Fort Mill,SC,29707,York,United States,redventures.com,(704) 971-2300,"",7389,"Business Services, Nec, Marketing And Advertising",874214,54191,Marketing Research and Public Opinion Polling,Marketing And Advertising,"",$200 Million - $1 Billion,"1,000 to 5,000",2000,501798,https://www.linkedin.com/company/red-ventures,https://www.facebook.com/redventures,https://twitter.com/RedVentures,https://www.instagram.com/redventures/,http://www.yelp.com/biz/red-ventures-fort-mill,https://youtube.com/user/redventurescareers,http://www.crunchbase.com/organization/red-ventures,UpLead
The Kingdom,thekingdom.com.au,"The Kingdom, HubSpot Platinum Partner, Australia",65 Walkerville Ter,Gilberton,VT,5081,"",Australia,thekingdom.com.au,61882321125,"",7299,"Miscellaneous Personal Services, Marketing And Advertising",,5418,"Advertising, Public Relations, and Related Services",Marketing And Advertising,"",$1 Million - $10 Million,10 to 50,2009,984235,https://www.linkedin.com/company/the-kingdom-advertising,,,,,,,UpLead
Deloitte Australia,deloitte.com.au,Deloitte Touche Tohmatsu,1633 Broadway,New York,NY,10019,New York,United States,deloitte.com.au,(212) 489-1600,"",7389,"Business Services, Nec, Management Consulting",,54,"Professional, Scientific, and Technical Services",Management Consulting,"",Over $1 Billion,"Over 10,000",,225188,https://www.linkedin.com/company/deloitte-touche-tohmatsu-llc,https://www.facebook.com/deloitte,https://twitter.com/Green_Dot,,,https://youtube.com/user/deloittevideo,,UpLead
Episcopal Diocese of Milwaukee,diomil.org,Camp Webb Inc,804 E Juneau Ave,Milwaukee,WI,53202,Milwaukee,United States,diomil.org,(414) 272-3028,(866) 499-1973,86,"Membership Organizations, Religious Institutions",866112,8131,Religious Organizations,Religious Institutions,"",Under $1 Million,"",,,https://www.linkedin.com/company/episcopal-diocese-of-milwaukee,,,,,,,UpLead
BrightBridge Solutions,brightbridgesolutions.com,BrightBridge Solutions Limited,Fosseway Suite The Highcross Business Park Coventry Road,Sharnford,Leicestershire,LE10 3PG,"",United Kingdom,brightbridgesolutions.com,+44 33 0133 5000,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",,54151,Computer Systems Design and Related Services,Information Technology And Services,"",$1 Million - $10 Million,10 to 50,2015,,https://www.linkedin.com/company/brightbridge-solutions-limited,,,,,,,UpLead
Chinti and Parker,chintiandparker.com,Chinti & Parker,,London,,,,United Kingdom,chintiandparker.com,,,59,"Miscellaneous Retail, Retail",,44,Retail Trade,Retail,,$1 Million - $10 Million,10 to 50,2009,,https://www.linkedin.com/company/chinti-and-parker,https://www.facebook.com/chintiandparker,https://twitter.com/chintiandparker,,,,,UpLead
Method R Corporation,method-r.com,Method R Corporation,530 Silicon Dr Ste 101,Southlake,TX,76092,Tarrant,United States,method-r.com,8179464964,6032187151,7372,"Prepackaged Software, Computer Software",737112,5112,Software Publishers,Computer Software,,Under $1 Million,1 to 10,2008,,https://www.linkedin.com/company/method-r-corporation,https://www.facebook.com/pages/Method-R-Corporation/170040323054594,https://twitter.com/MethodR,,,,,UpLead
Brado,ghergich.com,Beckon Media Inc.,1024 W Byron St #2w,Chicago,IL,60613,Cook,United States,ghergich.com,,"",,Marketing And Advertising,,5418,"Advertising, Public Relations, and Related Services",Marketing And Advertising,"",$1 Million - $10 Million,10 to 50,2012,,https://www.linkedin.com/company/beckon-media-inc-,https://www.facebook.com/ghergichandco,https://twitter.com/SEO,,,,,UpLead
Planhat,planhat.com,Planhat,Sveavägen 98,Stockholm,,11350,"",Sweden,planhat.com,,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",,54151,Computer Systems Design and Related Services,Information Technology And Services,"",$1 Million - $10 Million,10 to 50,,314204,https://www.linkedin.com/company/planhat,,,,,,,UpLead
Satel Creative,satel.ca,Satel Creative,1275 West 6th Avenue Suite 300,Vancouver,BC,V6H 1A6,"",Canada,satel.ca,6046761466,6046761474,737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",,54151,Computer Systems Design and Related Services,Information Technology And Services,"",$1 Million - $10 Million,10 to 50,2002,,https://www.linkedin.com/company/satel-creative,https://www.facebook.com/pages/Satel-Creative/238521132849853,https://twitter.com/SatelCreative,,,,,UpLead
WLS Lighting Systems,wlslighting.com,"Wls Lighting Systems, Inc",1919 Windsor Pl,Fort Worth,TX,76110,Tarrant,United States,wlslighting.com,(817) 840-9318,"",1711,"Plumbing, Heating, Air Conditioning, Electrical/Electronic Manufacturing",505111,238210,Electrical Contractors and Other Wiring Installation Contractors,Electrical/Electronic Manufacturing,"",$1 Million - $10 Million,50 to 200,1969,,https://www.linkedin.com/company/wls-lighting-systems-inc,https://www.facebook.com/WLSLightingSystems,https://twitter.com/WLSLighting,,http://www.yelp.com/biz/wls-lighting-systems-fort-worth,,,UpLead
ADIA,adia.com,Adia,Stampfenbachstrasse 138,Zurich,NJ,8006,"",Switzerland,adia.com,,"",7299,"Miscellaneous Personal Services, Internet",,54199,"All Other Professional, Scientific, and Technical Services",Internet,"",$10 Million - $50 Million,50 to 200,2016,376512,https://www.linkedin.com/company/linx-app,,,,,,,UpLead
CIMA,cima.dk,CIMA Technologies DK,,København K,,,"",Denmark,cima.dk,,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",,54151,Computer Systems Design and Related Services,Information Technology And Services,"",$1 Million - $10 Million,10 to 50,2016,,https://www.linkedin.com/company/cima-technologies-dk,,,,,,,UpLead
FairPeople,fairpeople.com,FairPeople Denmark ApS,Vesterbrogade 20 3 Sal,Copenhagen,Denmark,1652,"",Denmark,fairpeople.com,40141188,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Human Resources",,54151,Computer Systems Design and Related Services,Human Resources,"",$1 Million - $10 Million,10 to 50,2013,,https://www.linkedin.com/company/fairpeople,,,,,,,UpLead
MandM Direct,mandmdirect.com,M and M Direct,Clinton Road,Leominster,,,"",United Kingdom,mandmdirect.com,44 871 664 1326,441568613685,5961,"Catalog And Mail Order Houses, Retail",,45411,Electronic Shopping and Mail-Order Houses,Retail,"","","1,000 to 5,000",1987,24838,https://www.linkedin.com/company/m-and-m-direct,https://facebook.com/mandmdirect,https://twitter.com/mandmdirect,,,,,UpLead
Hillarys,hillarys.co.uk,Hillarys Blinds Limited,Unit 2 Churchill Park Private Road No 2,Colwick,,NG4 2JR,"",United Kingdom,hillarys.co.uk,44 11 5961 7420,"",1521,Retail,,3399,Other Miscellaneous Manufacturing,Retail,"",$200 Million - $1 Billion,"1,000 to 5,000",1971,228105,https://www.linkedin.com/company/hillarys-blinds-limited,https://www.facebook.com/LoveHillarys,https://twitter.com/hillarysblinds,,,,,UpLead
Football Index,footballindex.co.uk,Football Index,,"",,"","","",footballindex.co.uk,,"","",Gambling & Casinos,,"",,Gambling & Casinos,"","","",2012,241932,https://www.linkedin.com/company/1641576760,"","","","","","",UpLead
Xero,xero.com,Xero Ltd,19 23 Taranaki St Te Aro,Wellington,CT,6011,"",New Zealand,xero.com,+64 48194800,+64 48194801,7372,"Prepackaged Software, Computer Software",573401,511210,Software Publishers,Computer Software,XRO,$200 Million - $1 Billion,"1,000 to 5,000",2006,1410,https://www.linkedin.com/company/xero,https://www.facebook.com/Xero.Accounting,https://twitter.com/Xero,https://instagram.com/xero/,,https://www.youtube.com/user/XeroOnlineAccounting,http://www.crunchbase.com/organization/xero,UpLead
AXI,axi.be,Axi N.V.,Molenweg 107,Willebroek,RI,2830,"",Belgium,axi.be,32 3 860 40 00,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",,54151,Computer Systems Design and Related Services,Information Technology And Services,"",$10 Million - $50 Million,200 to 500,1985,,https://www.linkedin.com/company/axi,https://facebook.com/axinews,,,,,,UpLead
Red Pill Analytics,redpillanalytics.com,Red Pill Analytics,400 Carl St Unit 201,Wilmington,NC,28403,New Hanover,United States,redpillanalytics.com,(910) 232-9700,"",7372,"Prepackaged Software, Computer Software",,5416,"Management, Scientific, and Technical Consulting Services",Computer Software,"",$1 Million - $10 Million,10 to 50,2014,,https://www.linkedin.com/company/red-pill-analytics,,https://twitter.com/RedPillA,,,,,UpLead
Quest Software Inc.,quest.com,"Dell Software, Inc.",4 Polaris Way,Aliso Viejo,CA,92656,Orange,United States,quest.com,(949) 754-8000,(301) 820-4871,7372,"Prepackaged Software, Computer Software",737415,5112,Software Publishers,Computer Software,"",$200 Million - $1 Billion,"1,000 to 5,000",1987,35368,https://www.linkedin.com/company/dell-software,https://www.facebook.com/dellsoftware,https://twitter.com/DellSoftware,,,,http://www.crunchbase.com/company/quest-software,UpLead
Walmart,walmart.com,Walmart,406 S Walton Blvd,Bentonville,AR,72712,Clark,United States,walmart.com,479-273-0060,"",5311,Retail,,452210,,Retail,WMT,Over $1 Billion,"Over 10,000",1962,191,https://www.linkedin.com/company/2646,https://www.facebook.com/walmart,https://twitter.com/Walmart,"","","","",UpLead
scopely,scopely.com,"Scopely, Inc.",3530 Hayden Ave Ste A,Culver City,CA,90232,Los Angeles,United States,scopely.com,(323) 400-6618,"",7372,"Prepackaged Software, Internet",737211,5112,Software Publishers,Internet,"",$50 Million - $100 Million,200 to 500,2011,172919,https://www.linkedin.com/company/2057437,https://www.facebook.com/ScopelyLA,https://twitter.com/scopely,https://www.instagram.com/scopely/,,https://www.youtube.com/channel/UC5xBg5juVvoqDZUz0TZP77A,https://www.crunchbase.com/organization/scopely,UpLead
Jeffrey Jacobs & Associates,jeffreyjacobs.com,"Jeffrey Jacobs & Associates, Llc",800 Sea Spray Ln #207,Foster City,CA,94404,San Mateo,United States,jeffreyjacobs.com,16505717092,18006651379,,Management Consulting,737911,5416,"Management, Scientific, and Technical Consulting Services",Management Consulting,,$1 Million - $10 Million,10 to 50,,,,,,,,,,UpLead
"FRACTURE, INC.",fractureme.com,Fracture,112 Sw 6th St,Gainesville,FL,32601,Alachua,United States,fractureme.com,(352) 234-3722,"",59,"Miscellaneous Retail, Consumer Goods",801116,44,Retail Trade,Consumer Goods,"",$1 Million - $10 Million,10 to 50,2009,230204,https://www.linkedin.com/company/fracture,,,,http://www.yelp.com/biz/fracture-gainesville-2,,,UpLead
Jones Companies,jones.com,"Jones International, Ltd.",9697 E Mineral Ave,Centennial,CO,80112,Arapahoe,United States,jones.com,303-784-8904,13037991644,737,"Computer Programming, Data Processing, And Other Computerrelated, Computer Software",506516,54151,Computer Systems Design and Related Services,Computer Software,,$10 Million - $50 Million,200 to 500,1969,,,,,,,,,UpLead
Educational Attainment Services,educationalattainmentservices.com,Educational Attainment Services,601 S Figueroa. St Ste 4050,Los Angeles,CA,90017,Los Angeles,United States,educationalattainmentservices.com,(323) 570-1662,,,"",,61,Educational Services,,,$1 Million - $10 Million,1 to 10,,,,,https://twitter.com/EASconsultants,,http://www.yelp.com/biz/educational-attainment-services-los-angeles,,,UpLead
Healios,healios.org.uk,Healios,Viceroy House Unit 2 Millbrook Road East,Southampton,Hampshire,,"",United Kingdom,healios.org.uk,,"",80,"Health Services, Hospital & Health Care",,62,Health Care and Social Assistance,Hospital & Health Care,"",$1 Million - $10 Million,10 to 50,2013,,https://www.linkedin.com/company/healios,,,,,,,UpLead
Pandata Group,pandatagroup.com,Pandata Group,2810 Crossroads Dr Ste 4000,Madison,WI,53718,Dane,United States,pandatagroup.com,1(608) 228-3217,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",,54151,Computer Systems Design and Related Services,Information Technology And Services,"",$1 Million - $10 Million,10 to 50,2014,,https://www.linkedin.com/company/pandata-group,,,,,,,UpLead
Apex Auctions USA,apexauctions.com,"Apex Auctions USA, Inc",27475 Ferry Rd Ste 127,Warrenville,IL,60555,Dupage,United States,apexauctions.com,(630) 717-3720,(630) 717-3721,3599,"Industrial Machinery, Nec, Machinery",,333,Machinery Manufacturing,Machinery,"",$1 Million - $10 Million,10 to 50,,,https://www.linkedin.com/company/apex-auctions-ltd,,,,,,,UpLead
The Silicon Review,thesiliconreview.com,The Silicon Review,#3240 East State St,Ext Hamilton,NJ,08619,"",United States,thesiliconreview.com,(510) 400-4523,"",78,"Motion Pictures, Media Production",,5121,Motion Picture and Video Industries,Media Production,"",$10 Million - $50 Million,50 to 200,2012,50592,https://www.linkedin.com/company/thesiliconreview,,,,,,,UpLead
Seer Interactive,seerinteractive.com,New Equation,1033 N 2nd St 2nd Floor Seer Interactive,Philadelphia,PA,19123,Philadelphia,United States,seerinteractive.com,(215) 967-4461,"",8742,"Management Consulting Services, Marketing And Advertising",874214,541613,Marketing Consulting Services,Marketing And Advertising,"",$10 Million - $50 Million,50 to 200,2002,144992,https://www.linkedin.com/company/seer-interactive,https://www.facebook.com/SEERInteractive,https://twitter.com/SEERInteractive,,,https://www.youtube.com/user/seerinteractive,http://www.crunchbase.com/organization/seer-interactive,UpLead
Stitch,stitchdata.com,"Stitch, Inc.",,Philadelphia,PA,,Philadelphia,United States,stitchdata.com,,"",7372,"Prepackaged Software, Computer Software",,5112,Software Publishers,Computer Software,"",$1 Million - $10 Million,10 to 50,2016,162324,https://www.linkedin.com/company/stitch-data,https://www.facebook.com/stitchdata,http://twitter.com/stitch_data,https://www.instagram.com/stitch_data/,,,https://www.crunchbase.com/organization/stitch-5,UpLead
Lantrns Analytics,lantrns.co,Lantrns Analytics,,Gatineau,Québec,,,Canada,lantrns.co,,,737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",,54151,Computer Systems Design and Related Services,Information Technology And Services,,Under $1 Million,1 to 10,,,https://www.linkedin.com/company/lantrns-co,,,,,,,UpLead
Incorta,incorta.com,"InCorta, Inc.",1500 Fashion Island Blvd,San Mateo,CA,94404,San Mateo,United States,incorta.com,(650) 250-1481,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",737112,54151,Computer Systems Design and Related Services,Information Technology And Services,"",$10 Million - $50 Million,50 to 200,2013,624972,https://www.linkedin.com/company/incorta,https://www.facebook.com/Incorta/,https://twitter.com/incorta,,,https://www.youtube.com/channel/UCaBm331NHOI5w8wKxJtux_g,https://www.crunchbase.com/organization/incorta,UpLead
Talend,talend.com,Talend K.K.,800 Bridge Parkway Suite 200,Redwood City,CA,94065,"",United States,talend.com,33146250600,"",7372,"Prepackaged Software, Computer Software",,5112,,Computer Software,TLND,"","",2005,,https://www.linkedin.com/company/65485,https://www.facebook.com/talend,https://twitter.com/Talend,,,https://www.youtube.com/user/TalendChannel,http://www.crunchbase.com/organization/talend,UpLead
IWG,iwgplc.com,IWG Plc,26 Boulevard Royal,Luxembourg,,2449,,Luxembourg,iwgplc.com,+41 417232323,,7389,"Business Services, Nec, Real Estate",,53131,Real Estate Property Managers,Real Estate,IWGG,Over $1 Billion,"5,000 to 10,000",2016,213734,https://www.linkedin.com/company/4586,https://www.facebook.com/regususa,https://twitter.com/RegusUSA,,,,,UpLead
KUEHNE + NAGEL INC,kuehne-nagel.com,Kuehne + Nagel,Kuehne + Nagel Dorfstrasse 50,Schindellegi,Schwyz,8834,"",Switzerland,kuehne-nagel.com,2014135500,"",4731,"Freight Transportation Arrangement, Logistics And Supply Chain",,48851,Freight Transportation Arrangement,Logistics And Supply Chain,"",Over $1 Billion,"Over 10,000",1890,,https://www.linkedin.com/company/kuehne-nagel,,,,,,,UpLead
Google,google.com,"Google, Inc.",1600 Amphitheatre Pky,Mountain View,CA,94043,Santa Clara,United States,google.com,(650) 253-0000,(202) 346-1101,737,"Computer Programming, Data Processing, And Other Computerrelated, Internet",,54151,Computer Systems Design and Related Services,Internet,GOOGL,Over $1 Billion,"Over 10,000",1998,1,https://www.linkedin.com/company/google,http://www.facebook.com/Google,https://twitter.com/google,https://instagram.com/google,http://www.yelp.com/biz/vin-web-2-0-social-media-network-video-blog-marketing-consulting-new-york,https://www.youtube.com/user/Google,https://www.crunchbase.com/organization/google,UpLead
Cardinal Blue Software,cardinalblue.com,"Cardinal Blue Software, Inc.",148 Stro,Mountain View,CA,94041,Santa Clara,United States,cardinalblue.com,650-906-8890,,7372,"Prepackaged Software, Computer Software",,5112,Software Publishers,Computer Software,,Under $1 Million,1 to 10,2009,,,https://www.facebook.com/cardinalblue.inc,https://twitter.com/_cardinalblue,,,,,UpLead
Wootric New Contacts,wootric.com,"Wootric, Inc.",3616 18th St Apt 1,San Francisco,CA,94110,San Francisco,United States,wootric.com,(415) 860-4307,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Internet",,54151,Computer Systems Design and Related Services,Internet,"",$1 Million - $10 Million,1 to 10,2013,89669,https://www.linkedin.com/company/wootric,https://www.facebook.com/wootric,https://twitter.com/wootric,,,,,UpLead
Trifacta Inc.,trifacta.com,Trifacta Inc.,575 Market St 11th Fl,San Francisco,CA,94105,San Francisco,United States,trifacta.com,(844) 332-2821,"",7372,"Prepackaged Software, Computer Software",573413,5112,Software Publishers,Computer Software,"",$10 Million - $50 Million,50 to 200,2012,253544,https://www.linkedin.com/company/trifacta,https://www.facebook.com/Trifacta,https://twitter.com/trifacta,,,https://www.youtube.com/user/TrifactaInc,http://www.crunchbase.com/organization/trifacta,UpLead
WE Codeword,codewordagency.com,Codeword,145 W 30th St 7th Fl,New York,NY,10001,New York,United States,codewordagency.com,(801) 980-5546,"",8742,"Management Consulting Services, Marketing And Advertising",,541613,Marketing Consulting Services,Marketing And Advertising,"",$10 Million - $50 Million,50 to 200,2010,,https://www.linkedin.com/company/codeword,,,,,,,UpLead
accelo,accelo.com,"Accelo, Inc",880 Harrison St Ste 302,San Francisco,CA,94107,San Francisco,United States,accelo.com,(800) 425-7315,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Internet",,5416,"Management, Scientific, and Technical Consulting Services",Internet,"",$1 Million - $10 Million,10 to 50,2011,54217,https://www.linkedin.com/company/accelo,https://www.facebook.com/acceloinc/,http://twitter.com/accelo,,,https://www.youtube.com/user/affinitylive,https://www.crunchbase.com/organization/affinitylive,UpLead
GitLab,gitlab.com,Gitlab B.V.,Ondiep 108,Utrecht,,3552EK,"",Netherlands,gitlab.com,4152412453,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",,54151,Computer Systems Design and Related Services,Information Technology And Services,"",$10 Million - $50 Million,200 to 500,2014,1125,https://www.linkedin.com/company/gitlab-com,https://www.facebook.com/gitlab,https://twitter.com/gitlab,https://instagram.com/amazon/,http://www.yelp.com/biz/amazon-books-seattle,https://www.youtube.com/channel/UCnMGQ8QHMAnVIsI3xJrihhg,https://www.crunchbase.com/organization/gitlab-com,UpLead
Mode Analytics,modeanalytics.com,"Mode Analytics, Inc.",3089 22nd St Apt 3,San Francisco,CA,94110,San Francisco,United States,modeanalytics.com,(415) 640-2026,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Computer Software",999900,54151,Computer Systems Design and Related Services,Computer Software,"",$1 Million - $10 Million,1 to 10,2013,38211,,https://www.facebook.com/ModeAnalytics,https://twitter.com/ModeAnalytics,,,,https://www.crunchbase.com/organization/mode-analytics,UpLead
Sigma Computing,sigmacomputing.com,Sigma Computing,,San Francisco,CA,,,United States,sigmacomputing.com,,,737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",,54151,Computer Systems Design and Related Services,Information Technology And Services,,$1 Million - $10 Million,10 to 50,,373162,https://www.linkedin.com/company/sigma-computing,,,,,,,UpLead
Product Madness Inc,productmadness.com,"Product Madness, Inc.",220 Halleck St Ste 220,San Francisco,CA,94104,San Francisco,United States,productmadness.com,(415) 817-1345,1(415) 817-1345,7372,"Prepackaged Software, Gambling & Casinos",737211,5112,Software Publishers,Gambling & Casinos,"",$1 Million - $10 Million,50 to 200,2007,341211,https://www.linkedin.com/company/product-madness,,https://twitter.com/Heart_of_Vegas,,,,,UpLead
Personyze,personyze.com,Personyze,13 Yehuda Mozes,Tel Aviv,,67442,"",Israel,personyze.com,1-888-831-8911,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Internet",,54151,Computer Systems Design and Related Services,Internet,"",$1 Million - $10 Million,10 to 50,2008,,https://www.linkedin.com/company/personyze,,,,,,,UpLead
Quistor,quistor.com,Quistor Enterprises B.V.,Steenbergsestraat 49,Bergen Op Zoom,,,"",Netherlands,quistor.com,31 16 421 3300,"",73,"Business Services, Information Technology And Services",,5415,Computer Systems Design and Related Services,Information Technology And Services,"","","",2005,,https://www.linkedin.com/company/quistor,https://www.facebook.com/quistor,https://twitter.com/quistorcompany,,,,,UpLead
COLE FRANCIS LIMITED,colefrancis.com,Cole Francis Limited,15 Boltro Rd,Haywards Heath,WEST SUSSEX,RH16 1BP,,United Kingdom,colefrancis.com,,,8111,"Legal Services, Legal Services",,5411,Legal Services,Legal Services,,"","",2013,,,,,,,,,UpLead
Manning Publications,manning.com,"Manning Publications Co., Llc",20 Baldwin Rd,Shelter Island,NY,11963,Suffolk,United States,manning.com,(203) 626-1510,"",2731,"Book Publishing, Publishing",152103,51113,Book Publishers,Publishing,"",$1 Million - $10 Million,10 to 50,1990,17057,https://www.linkedin.com/company/manning-publications-co,https://www.facebook.com/ManningBooks,https://twitter.com/ManningBooks,,,,,UpLead
Innive,inniveinc.com,Innive Inc,18018 Malakai Ilse Dr,Tampa,FL,33647,Hillsborough,United States,inniveinc.com,(813) 613-3117,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",,54151,Computer Systems Design and Related Services,Information Technology And Services,"",$10 Million - $50 Million,200 to 500,2015,,https://www.linkedin.com/company/innive-inc,,,,,,,UpLead
Ecoation,ecoation.com,Ecoation Innovative Solutions Inc (EIS).,,North Vancouver,BC,,,Canada,ecoation.com,,,737,"Computer Programming, Data Processing, And Other Computerrelated, Information Technology And Services",,54151,Computer Systems Design and Related Services,Information Technology And Services,,$1 Million - $10 Million,10 to 50,,,https://www.linkedin.com/company/ecoation-innovative-solutions-inc-,,,,,,,UpLead
Cymphony,cymphony.co.uk,Cymphony,,Andover,Hampshire,,,United Kingdom,cymphony.co.uk,,,4812,"Radiotelephone Communication, Telecommunications",,517,Telecommunications,Telecommunications,,$1 Million - $10 Million,10 to 50,2004,,https://www.linkedin.com/company/cymphony,,,,,,,UpLead
Eden Smith,edensmith.co.uk,Eden Smith Limited,,London,,,,United Kingdom,edensmith.co.uk,,,7363,"Help Supply Services, Staffing And Recruiting",,5613,Employment Services,Staffing And Recruiting,,$1 Million - $10 Million,10 to 50,2016,,https://www.linkedin.com/company/eden-smith-limited,,,,,,,UpLead
Looker Data Sciences,looker.com,"Looker Data Sciences, Inc.",101 Church St,Santa Cruz,CA,95060,Santa Cruz,United States,looker.com,(831) 244-0340,"",737,"Computer Programming, Data Processing, And Other Computerrelated, Computer Software",573401,54151,Computer Systems Design and Related Services,Computer Software,"",$10 Million - $50 Million,200 to 500,2012,14105,https://www.linkedin.com/company/looker,https://www.facebook.com/LookerData,https://twitter.com/LookerData,,,https://www.youtube.com/user/LookerData,http://www.crunchbase.com/organization/looker,UpLead
Colourpop,colourpop.com,ColourPop Cosmetics,,Oxnard,CA,,Ventura,United States,colourpop.com,,"",7299,"Miscellaneous Personal Services, Apparel & Fashion",,315,Apparel Manufacturing,Apparel & Fashion,"",$100 Million - $200 Million,"",2014,4018,https://www.linkedin.com/company/colourpop-cosmetics,https://www.facebook.com/ColourPopCosmetics,https://twitter.com/ColourPopCo,,,,,UpLead
Let's Do This,letsdothis.com,LetsDoThis.com (YC W18),,London,England,,"",United Kingdom,letsdothis.com,,"",4899,"Communication Services, Nec, Sports",,81299,All Other Personal Services,Sports,"",Under $1 Million,1 to 10,2016,247515,https://www.linkedin.com/company/lets-do-this,,,,,,,UpLead
